"","MPG","Weight","Cylinders","Gears","Displacement","Horsepower","AxleRatio","NVratio","Transmission","DriveSystem","FuelType"
"300",54.2,4000,4,6,2,154,3.51,36,"SA","F","Unleaded"
"301",31,3625,4,6,1.4,138,3.53,33.6,"SA","F","Unleaded"
"302",27.2,3875,4,7,2,155,2.65,28.5,"SA","4","Unleaded"
"303",32.4,3250,4,6,1.8,138,4.71,43.1,"M","F","Unleaded"
"304",58.5,3875,4,1,1.5,100,2.64,55.2,"CVT","F","Unleaded"
"305",22.5,4500,8,9,4.664,402,2.47,20,"A","R","Unleaded"
"306",24.2,4250,6,6,3.5,285,3.16,28.9,"A","F","Unleaded"
"307",21,4750,6,6,3.3,290,3.04,28,"SA","A","Unleaded"
"308",35.7,4250,3,6,1.5,134,3.94,34.1,"SA","A","Unleaded"
"309",24.5,4250,4,6,2,240,3.51,32.6,"SA","A","Unleaded"
"310",19.8,4750,6,5,3.6,290,3.21,29.4,"A","4","Unleaded"
"311",34.4,3375,4,6,2,160,3.85,34.5,"SA","F","Unleaded"
"312",24.3,4750,6,9,3.6,287,1.56,18.8,"A","F","Unleaded"
"313",46,4250,4,1,2.494,112,3.54,22.9,"CVT","F","Unleaded"
"314",19.7,4500,8,10,4.969,471,2.94,21.3,"A","R","Unleaded"
"315",28.7,4250,6,9,3.5,500,3.58,28.9,"SA","A","Unleaded"
"316",22,4500,6,6,3.5,280,3.16,27.6,"A","F","Unleaded"
"317",30.5,4000,4,7,1.6,175,3.58,32.5,"SA","A","Unleaded"
"318",27.1,4250,6,1,3.5,260,4.67,21,"CVT","F","Unleaded"
"319",27.1,4000,4,8,2,228,3.2,27.5,"SA","F","Unleaded"
"320",22,5000,6,8,3.456,295,3,25.2,"A","F","Unleaded"
"321",34.1,2750,4,6,1.4,160,3.45,41.6,"M","R","Unleaded"
"322",21.1,5250,6,8,3.6,290,3.21,23.6,"A","R","Unleaded"
"323",19.1,4250,6,6,3,340,3.31,36.5,"M","4","Unleaded"
"324",24.3,4250,4,6,2,245,3.51,32.9,"SA","F","Unleaded"
"325",33.8,2750,4,6,2,155,3.45,29.4,"A","R","Unleaded"
"326",16.8,6000,8,7,5.6,381,2.94,24.1,"SA","R","Unleaded"
"327",29.2,3625,4,6,2.4,181,3.06,29.8,"SA","F","Unleaded"
